subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
586,2,71,2,NA,1,2,NA,2,targeting,control,targeting,cov_profile_2,NA,cov_profile_2,0,NA,6,video
587,2,41,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,2,41,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,2,41,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,2,42,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,2,42,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,2,42,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,2,62,3,NA,NA,2,NA,1,single_best,single_best,targeting,NA,NA,cov_profile_2,0,1,5,video
589,2,62,3,NA,NA,2,NA,1,single_best,single_best,targeting,NA,NA,cov_profile_2,1,NA,7,video
589,2,62,3,NA,NA,2,NA,1,single_best,single_best,targeting,NA,NA,cov_profile_2,0,NA,1,video
590,2,41,3,NA,NA,2,NA,2,naive,control,targeting,NA,NA,cov_profile_3,0,1,3,video
590,2,41,3,NA,NA,2,NA,2,naive,control,targeting,NA,NA,cov_profile_3,1,NA,4,video
590,2,41,3,NA,NA,2,NA,2,naive,control,targeting,NA,NA,cov_profile_3,0,NA,1,video
591,2,30,2,NA,1,2,NA,1,single_best,single_best,control,NA,NA,NA,0,1,5,video
591,2,30,2,NA,1,2,NA,1,single_best,single_best,control,NA,NA,NA,0,NA,1,video
591,2,30,2,NA,1,2,NA,1,single_best,single_best,control,NA,NA,NA,0,NA,6,video
592,2,53,3,NA,NA,3,NA,NA,naive,single_best,naive,NA,NA,NA,0,0,3,control
592,2,53,3,NA,NA,3,NA,NA,naive,single_best,naive,NA,NA,NA,0,NA,4,control
592,2,53,3,NA,NA,3,NA,NA,naive,single_best,naive,NA,NA,NA,0,NA,5,control
593,2,20,3,NA,NA,3,NA,NA,single_best,targeting,targeting,NA,cov_profile_2,cov_profile_3,0,1,4,video
593,2,20,3,NA,NA,3,NA,NA,single_best,targeting,targeting,NA,cov_profile_2,cov_profile_3,1,NA,2,video
593,2,20,3,NA,NA,3,NA,NA,single_best,targeting,targeting,NA,cov_profile_2,cov_profile_3,1,NA,6,video
594,2,45,2,NA,1,2,NA,1,targeting,naive,single_best,cov_profile_2,NA,NA,1,1,3,video
